epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8628121018409729,0.351434588432312,0.3793995976448059,1e-04,0.6770642995834351,0.6789920330047607,0.8304689526557922,0.2647048532962799,0.40169447660446167,0.9375278949737549,0.30833423137664795
1,0.9111296534538269,0.4532560110092163,0.2582615911960602,1e-04,0.8298450112342834,0.7336373925209045,0.9156705737113953,0.49724239110946655,0.23205870389938354,0.9340105056762695,0.6959458589553833
2,0.9214408993721008,0.5014135241508484,0.22327284514904022,1e-04,0.8527820110321045,0.7638025283813477,0.9177295565605164,0.516923725605011,0.22295087575912476,0.9584208130836487,0.684978187084198
3,0.9280816912651062,0.5352262258529663,0.2017051875591278,1e-04,0.86541748046875,0.7855209112167358,0.9211486577987671,0.5411994457244873,0.2128390073776245,0.9602489471435547,0.6986343860626221
4,0.9330084323883057,0.5624074339866638,0.18582087755203247,1e-04,0.8750567436218262,0.8009882569313049,0.9244778156280518,0.5611839890480042,0.20196349918842316,0.9548241496086121,0.7178547978401184
5,0.9368715882301331,0.5851861238479614,0.1733541339635849,1e-04,0.8833908438682556,0.812044084072113,0.9266452789306641,0.5768758058547974,0.19642820954322815,0.9549028873443604,0.7273680567741394
6,0.9402592778205872,0.6052886247634888,0.16281037032604218,1e-04,0.8900725245475769,0.8224155306816101,0.9269089102745056,0.5875775218009949,0.19472543895244598,0.9521065950393677,0.7309412360191345
7,0.9435147643089294,0.6237300634384155,0.153299942612648,1e-04,0.8960084319114685,0.8328847885131836,0.9255931377410889,0.593773365020752,0.1970343440771103,0.948016881942749,0.7285726070404053
8,0.9463611841201782,0.6404891610145569,0.14483864605426788,1e-04,0.9012706279754639,0.8418664932250977,0.9255902171134949,0.6049237251281738,0.19705317914485931,0.9439782500267029,0.7320643663406372
9,0.9491837024688721,0.6564990282058716,0.13694502413272858,1e-04,0.9063721895217896,0.8508670926094055,0.9268715977668762,0.6171152591705322,0.19383826851844788,0.9420288801193237,0.7394824028015137
10,0.952006995677948,0.6723684668540955,0.129191055893898,1e-04,0.9110898971557617,0.8602562546730042,0.924293577671051,0.618881106376648,0.20386648178100586,0.9432518482208252,0.7268124222755432
11,0.9546178579330444,0.6878079175949097,0.12175596505403519,1e-04,0.9151049852371216,0.8692887425422668,0.9207128286361694,0.6150321960449219,0.2190399318933487,0.9422011375427246,0.7115539312362671
12,0.9567537307739258,0.7010571956634521,0.11520266532897949,1e-04,0.918370246887207,0.8766406774520874,0.9228273630142212,0.6231778264045715,0.2176273614168167,0.9420092701911926,0.7211694717407227
